Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_16__143_/QN,m_mZ_reg_10__123_/D,75.672,1134.72,813.96,718.92,738.288,-415.8,29.2,31.1,12.4,12.2,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,20.919,38.4,1550.719,1492.019
m_mFW_reg_16__143_/QN,m_mZ_reg_16__123_/D,75.672,1134.72,745.056,653.04,669.384,-481.68,33.4,36.3,13.5,13.1,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,31.319,28,1555.519,1497.819
m_mFW_reg_12__465_/QN,m_mZ_reg_15__103_/D,445.896,1113.12,768.6,628.2,322.704,-484.92,34.6,36.3,10.2,10.2,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,38.719,30.3,1558.819,1482.219
m_mFW_reg_12__465_/QN,m_mZ_reg_9__103_/D,445.896,1113.12,835.992,738.36,390.096,-374.76,26.4,27.9,9.8,10,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,17.619,51.4,1533.619,1457.819
m_mFW_reg_16__143_/QN,m_mZ_reg_4__123_/D,75.672,1134.72,813.096,666,737.424,-468.72,29.5,31.8,13.3,13,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,33.919,25.4,1551.819,1493.619
m_mFW_reg_12__465_/QN,m_mZ_reg_15__104_/D,445.896,1113.12,776.376,616.32,330.48,-496.8,36.2,37.6,10.3,10.7,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,45.719,23.3,1561.619,1491.419
m_mFW_reg_12__465_/QN,m_mZ_reg_12__103_/D,445.896,1113.12,843.984,807.48,398.088,-305.64,25.5,27,10.4,10.7,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,12.519,56.5,1525.019,1449.119
m_mFW_reg_16__143_/QN,m_mZ_reg_1__123_/D,75.672,1134.72,808.344,659.52,732.672,-475.2,28.4,30.6,11.6,11.3,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,36.619,22.7,1551.519,1493.519
m_mFW_reg_5__180_/QN,m_mZ_reg_14__38_/D,120.816,353.88,843.768,793.44,722.952,439.56,24.6,26.2,9.6,9.9,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,12.819,36.7,1523.519,1455.019
m_mFW_reg_16__143_/QN,m_mZ_reg_13__124_/D,75.672,1134.72,821.52,780.48,745.848,-354.24,31.3,34.5,11.5,11.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,11.519,47.8,1527.818,1471.919
m_mFW_reg_3__680_/QN,m_mZ_reg_12__37_/D,153.216,644.4,837.504,802.08,684.288,157.68,24.9,26.4,10.4,10.5,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,12.319,39.5,1522.219,1480.019
m_mFW_reg_16__143_/QN,m_mZ_reg_13__123_/D,75.672,1134.72,813.096,780.48,737.424,-354.24,31.7,34.8,12.4,11.9,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,31.519,27.8,1575.1,1484.719
m_mFW_reg_12__465_/QN,m_mZ_reg_3__104_/D,445.896,1113.12,837.072,680.04,391.176,-433.08,39.3,39.8,10.4,10.9,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,41.719,27.3,1542.619,1480.119
m_mFW_reg_16__143_/QN,m_mZ_reg_10__126_/D,75.672,1134.72,838.584,718.92,762.912,-415.8,29.2,31.4,10.1,10.5,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,17.919,41.4,1551.019,1463.119
m_mFW_reg_13__351_/QN,m_mZ_reg_13__104_/D,483.696,1132.56,838.584,770.76,354.888,-361.8,33.9,37.1,9.8,10.1,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,15.019,50.8,1524.819,1469.419
m_mFW_reg_16__143_/QN,m_mZ_reg_7__123_/D,75.672,1134.72,806.616,842.04,730.944,-292.68,32,34.5,12.8,12.5,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,24.919,34.4,1520.419,1475.819
m_mFW_reg_16__165_/QN,m_mZ_reg_10__124_/D,47.808,1109.88,814.824,721.08,767.016,-388.8,30.1,31.8,12.6,12.7,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,21.019,37.2,1533.818,1465.619
m_mFW_reg_12__465_/QN,m_mZ_reg_0__104_/D,445.896,1113.12,838.584,636.84,392.688,-476.28,33.2,36.1,10.4,10.9,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,46.619,22.4,1527.419,1484.419
m_mFW_reg_13__351_/QN,m_mZ_reg_10__104_/D,483.696,1132.56,844.2,726.48,360.504,-406.08,28.5,29.7,11.3,11.7,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,16.019,49.8,1554.619,1470.819
m_mFW_reg_16__143_/QN,m_mZ_reg_10__125_/D,75.672,1134.72,830.376,720,754.704,-414.72,26.7,28.9,9,9.4,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,18.719,40.6,1519.818,1465.119
m_mFW_reg_16__165_/QN,m_mZ_reg_16__125_/D,47.808,1109.88,762.984,630.36,715.176,-479.52,36.5,37.9,10.9,11.1,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,38.919,19.3,1531.119,1480.419
m_mFW_reg_5__180_/QN,m_mZ_reg_11__38_/D,120.816,353.88,843.984,744.84,723.168,390.96,27,28.4,10.1,10.6,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,18.619,30.9,1544.219,1451.219
m_mFW_reg_4__330_/QN,m_mZ_reg_10__36_/D,302.472,306.36,822.384,720,519.912,413.64,28.1,30.1,11.4,11.6,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,18.819,30.3,1521.219,1465.419
m_mFW_reg_5__180_/QN,m_mZ_reg_8__38_/D,120.816,353.88,837.288,815.04,716.472,461.16,25.8,27.2,11.7,12.3,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,31.719,17.8,1528.319,1464.119
m_mFW_reg_8__380_/QN,m_mZ_reg_5__60_/D,287.136,792.36,829.512,704.88,542.376,-87.48,37.1,33.2,11.2,11,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,19.119,41.4,1563.7,1450.919
m_mFW_reg_16__143_/QN,m_mZ_reg_10__122_/D,75.672,1134.72,805.536,721.08,729.864,-413.64,27.8,29.9,11.5,11.3,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,20.319,39,1530.6,1468.519
m_mFW_reg_12__465_/QN,m_mZ_reg_12__104_/D,445.896,1113.12,844.416,804.24,398.52,-308.88,24.7,26.3,9.5,9.8,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,12.519,56.5,1529.6,1442.819
m_mFW_reg_4__330_/QN,m_mZ_reg_7__36_/D,302.472,306.36,815.904,822.6,513.432,516.24,28.2,30.4,12.7,12.5,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,27.919,21.2,1536.8,1474.919
m_mFW_reg_4__330_/QN,m_mZ_reg_7__38_/D,302.472,306.36,835.776,799.92,533.304,493.56,24.8,26.4,9.9,10.1,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,12.319,36.8,1533.319,1444.719
m_mFW_reg_8__380_/QN,m_mZ_reg_2__57_/D,287.136,792.36,785.664,643.32,498.528,-149.04,42.4,38.8,11,10.8,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,34.619,25.9,1556.2,1477.119
m_mFW_reg_16__143_/QN,m_mZ_reg_16__126_/D,75.672,1134.72,775.512,617.4,699.84,-517.32,35.8,37.3,10.4,10.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,45.719,13.6,1514.919,1482.419
m_mFW_reg_5__180_/QN,m_mZ_reg_14__37_/D,120.816,353.88,838.368,779.4,717.552,425.52,34.9,38,9.6,10,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,14.619,34.9,1518.418,1442.519
m_mFW_reg_3__680_/QN,m_mZ_reg_6__37_/D,153.216,644.4,831.024,819.36,677.808,174.96,27,29.3,10.6,10.6,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,31.719,20.1,1509.619,1487.319
m_mFW_reg_4__330_/QN,m_mZ_reg_13__38_/D,302.472,306.36,844.416,779.4,541.944,473.04,38.6,41.3,11.4,11.9,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,14.519,34.6,1537.919,1440.819
m_mFW_reg_16__143_/QN,m_mZ_reg_16__122_/D,75.672,1134.72,740.304,658.44,664.632,-476.28,32.5,35.5,13.2,12.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,30.019,29.3,1508.219,1476.719
m_mFW_reg_12__465_/QN,m_mZ_reg_9__104_/D,445.896,1113.12,843.336,741.6,397.44,-371.52,26.8,28.2,9.7,10.1,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,18.119,50.9,1541.919,1444.819
m_mFW_reg_15__160_/QN,m_mZ_reg_12__124_/D,54.072,1132.56,823.248,808.56,769.176,-324,29.3,31.3,12.5,12.2,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,11.219,44.7,1527.7,1454.919
m_mFW_reg_12__465_/QN,m_mZ_reg_3__103_/D,445.896,1113.12,831.024,687.6,385.128,-425.52,28.1,30.4,9.8,10,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,42.119,26.9,1543.219,1461.819
m_mFW_reg_16__165_/QN,m_mZ_reg_1__124_/D,47.808,1109.88,815.688,646.56,767.88,-463.32,31.2,34.3,11.1,11.3,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,34.219,24,1508.419,1469.119
m_mFW_reg_9__132_/QN,m_mZ_reg_9__81_/D,388.008,1067.76,829.512,734.04,441.504,-333.72,26.9,28.4,10.1,10.4,0.429,0.381,0.429,0.383,33.2,31.1,34.9,37.5,50.719,17.519,33.2,1530.119,1449.919
m_mFW_reg_13__351_/QN,m_mZ_reg_16__103_/D,483.696,1132.56,762.984,628.2,279.288,-504.36,34.8,36.4,9.4,9.8,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,38.819,27,1507.419,1482.019
m_mFW_reg_1__132_/QN,m_mZ_reg_13__16_/D,417.384,660.6,844.416,766.44,427.032,105.84,38.5,41.2,11.4,11.8,0.429,0.381,0.429,0.383,26.3,24.2,26.2,28.7,47.419,15.119,32.3,1551.3,1445.019
m_mFW_reg_15__160_/QN,m_mZ_reg_15__124_/D,54.072,1132.56,752.616,644.4,698.544,-488.16,32,35,13.9,13.1,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,30.919,25,1569,1478.619
m_mFW_reg_16__165_/QN,m_mZ_reg_4__124_/D,47.808,1109.88,815.904,664.92,768.096,-444.96,29.1,31.2,11.1,11.4,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,33.019,25.2,1525.719,1466.619
m_mFW_reg_5__180_/QN,m_mZ_reg_8__37_/D,120.816,353.88,828.864,821.52,708.048,467.64,30,32.9,10.9,10.8,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,31.619,17.9,1512.019,1464.019
m_mFW_reg_3__680_/QN,m_mZ_reg_6__38_/D,153.216,644.4,835.776,808.56,682.56,164.16,25,26.5,10.2,10.4,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,11.219,40.6,1511.619,1449.519
m_mFW_reg_13__351_/QN,m_mZ_reg_7__104_/D,483.696,1132.56,831.024,846.36,347.328,-286.2,30.7,33.4,10.1,10.4,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,19.719,46.1,1538.519,1462.619
m_mFW_reg_12__465_/QN,m_mZ_reg_0__103_/D,445.896,1113.12,829.944,653.04,384.048,-460.08,28.6,30.8,9.8,10,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,45.719,23.3,1529.919,1462.519
m_mFW_reg_6__854_/QN,m_mZ_reg_15__60_/D,52.992,1034.28,768.168,654.12,715.176,-380.16,40.9,37.9,10.5,10.4,0.429,0.381,0.429,0.383,54.8,52.6,62.9,65.7,64.019,33.819,30.2,1546.7,1464.318
m_mFW_reg_16__165_/QN,m_mZ_reg_1__125_/D,47.808,1109.88,821.736,636.84,773.928,-473.04,33.7,36.5,10.7,11.3,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,39.519,18.7,1510.919,1466.819
m_mFW_reg_16__143_/QN,m_mZ_reg_1__126_/D,75.672,1134.72,821.736,628.2,746.064,-506.52,30.7,33.8,9.4,9.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,40.119,19.2,1545.718,1470.619
m_mFW_reg_5__180_/QN,m_mZ_reg_11__37_/D,120.816,353.88,838.584,745.92,717.768,392.04,27.8,29.1,10.2,10.7,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,18.719,30.8,1505.319,1443.119
